Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-09	14/09/17	OR2	NH	2	OR2-NH2	(14-09-17)	42.230	
2017-09	14/09/17	OR2	NH	3	OR2-NH3	(14-09-17)	27.951	
2017-09	21/09/17	OR2	H	1	OR2-H1	(21-09-17)	0.997	
2017-09	21/09/17	OR2	H	2	OR2-H2	(21-09-17)	7.467	
2017-09	21/09/17	OR2	H	3	OR2-H3	(21-09-17)	2.102	
2017-09	21/09/17	OR2	NH	1	OR2-NH1	(21-09-17)	58.624	
2017-09	21/09/17	OR2	NH	2	OR2-NH2	(21-09-17)	43.476	
2017-09	21/09/17	OR2	NH	3	OR2-NH3	(21-09-17)	29.414	
2017-10	07/10/17	OR2	H	1	OR2-H1	(07-10-17)	1.843	
2017-10	07/10/17	OR2	H	2	OR2-H2	(07-10-17)	8.370	
2017-10	07/10/17	OR2	H	3	OR2-H3	(07-10-17)	3.340	
2017-10	07/10/17	OR2	NH	1	OR2-NH1	(07-10-17)	65.880	
2017-10	07/10/17	OR2	NH	2	OR2-NH2	(07-10-17)	46.591	
2017-10	07/10/17	OR2	NH	3	OR2-NH3	(07-10-17)	32.587	
2017-10	14/10/17	OR2	H	1	OR2-H1	(14-10-17)	2.945	
2017-10	14/10/17	OR2	H	2	OR2-H2	(14-10-17)	8.141	
2017-10	14/10/17	OR2	H	3	OR2-H3	(14-10-17)	2.198	
2017-10	14/10/17	OR2	NH	1	OR2-NH1	(14-10-17)	65.240	
2017-10	14/10/17	OR2	NH	2	OR2-NH2	(14-10-17)	39.526	
2017-10	14/10/17	OR2	NH	3	OR2-NH3	(14-10-17)	33.057	
2017-10	22/10/17	OR2	H	1	OR2-H1	(22-10-17)	5.740	
2017-10	22/10/17	OR2	H	2	OR2-H2	(22-10-17)	9.218	
2017-10	22/10/17	OR2	H	3	OR2-H3	(22-10-17)	2.615	
2017-10	22/10/17	OR2	NH	1	OR2-NH1	(22-10-17)	65.135	
2017-10	22/10/17	OR2	NH	2	OR2-NH2	(22-10-17)	43.002	
2017-10	22/10/17	OR2	NH	3	OR2-NH3	(22-10-17)	34.083	
2017-10	29/10/17	OR2	H	1	OR2-H1	(29-10-17)	9.027	
2017-10	29/10/17	OR2	H	2	OR2-H2	(29-10-17)	12.225	
2017-10	29/10/17	OR2	H	3	OR2-H3	(29-10-17)	3.700	
2017-10	29/10/17	OR2	NH	1	OR2-NH1	(29-10-17)	69.015	
2017-10	29/10/17	OR2	NH	2	OR2-NH2	(29-10-17)	43.749	
2017-10	29/10/17	OR2	NH	3	OR2-NH3	(29-10-17)	37.455	
2017-11	04/11/17	OR2	H	1	OR2-H1	(5-11-17)	9.669	
2017-11	04/11/17	OR2	H	2	OR2-H2	(5-11-17)	12.015	
2017-11	04/11/17	OR2	H	3	OR2-H3	(5-11-17)	3.349	
2017-11	04/11/17	OR2	NH	1	OR2-NH1	(5-11-17)	63.920	
2017-11	04/11/17	OR2	NH	2	OR2-NH2	(5-11-17)	50.574	
2017-11	04/11/17	OR2	NH	3	OR2-NH3	(5-11-17)	39.705	
2017-11	12/11/17	OR2	H	1	OR2-H1	(12-11-17	8.835	
2017-11	12/11/17	OR2	H	2	OR2-H2	(12-11-17)	8.637	
2017-11	12/11/17	OR2	H	3	OR2-H3	(12-11-17)	1.625	
2017-11	12/11/17	OR2	NH	1	OR2-NH1	(12-11-17)	59.025	
2017-11	12/11/17	OR2	NH	2	OR2-NH2	(12-11-17)	47.994	
2017-11	12/11/17	OR2	NH	3	OR2-NH3	(12-11-17)	38.595	
2017-11	23/11/17	OR2	H	1	OR2-H1	(23-11-17)	10.468	
2017-11	23/11/17	OR2	H	2	OR2-H2	(23-11-17)	8.291	
2017-11	23/11/17	OR2	H	3	OR2-H3	(23-11-17)	2.109	
2017-11	23/11/17	OR2	NH	1	OR2-NH1	(23-11-17)	58.192	
2017-11	23/11/17	OR2	NH	3	OR2-NH3	(23-11-17)	39.859	
2017-11	23/11/17	OR2	NH	2	OR2-NH2	(23-11-17)	50.018	
2017-12	11/12/17	OR2	H	1	OR2-H1	(11-12-17)	10.667	
2017-12	11/12/17	OR2	H	2	OR2-H2	(11-12-17)	9.649	
2017-12	11/12/17	OR2	H	3	OR2-H3	(11-12-17)	2.636	
2017-12	11/12/17	OR2	NH	1	OR2-NH1	(11-12-17)	50.337	
2017-12	11/12/17	OR2	NH	2	OR2-NH2	(11-12-17)	44.807	
2017-12	11/12/17	OR2	NH	3	OR2-NH3	(11-12-17)	38.206	
2017-12	23/12/17	OR2	H	1	OR2-H1	(23-12-17)	11.570	
2017-12	23/12/17	OR2	H	2	OR2-H2	(23-12-17)	11.597	
2017-12	23/12/17	OR2	H	3	OR2-H3	(23-12-17)	2.819	
2017-12	23/12/17	OR2	NH	1	OR2-NH1	(23-12-17)	50.160	
2017-12	23/12/17	OR2	NH	2	OR2-NH2	(23-12-17)	46.733	
2017-12	23/12/17	OR2	NH	3	OR2-NH3	(23-12-17)	38.872	
2017-12	31/12/17	OR2	H	1	OR2-H1	(31-12-17)	12.292	
2017-12	31/12/17	OR2	H	2	OR2-H2	(31-12-17)	10.408	
2017-12	31/12/17	OR2	H	3	OR2-H3	(31-12-17)	3.282	
2017-12	31/12/17	OR2	NH	1	OR2-NH1	(31-12-17)	54.178	
2017-12	31/12/17	OR2	NH	2	OR2-NH2	(31-12-17)	52.571	
